id,name,street_address,city,state,zipcode,birth_date,gender,education,occupation
df83ec2d0d409395c0d8c2690cfa8b67,Cynthia Barnfield,44 NE Meikle Pl,Portland ,Oregon,97213.0,2009-09-10,female,High School,
6aec7ab2ea0d67161dac39e5dcabd857,Elizabeth Smith,7511 SE Harrison St, Portland,Oregon,97215.0,1956-12-15, female,College,Blue Collar
0c54340672f510fdb9d2f30595c1ab53,Richard Pabla,1404 SE Pine St,Portland,Oregon,97214.0,1960-12-18,male,College,Education & Health
f0d9ce833ddc1f73c1e0b55bdebf012e,Charles Baker,12271 N Westshore Dr,Portland,Oregon,97217.0,2105-07-19,male,Graduate Degree,SALES
3720379163f6b46944db6c98c0485bfd,Ronald Lydon,5321 NE Skyport Way,,Oregon,97218.0,1961-03-14,male,Graduate Degree,Blue Collar
8380f7f05a183e9b17f133d5e8a78707,Katherine Bax,4106 NE 69th Ave,Portland,Oregon,97218.0,1990-10-06, female,Graduate Degree,Tech
5b54076ff51088b8ce4f2c3692b79d66,Christine Hermreck,   1856 NE 84th Ave,Portland,Oregon,_97220.0,2009-05-27,female,College,Education & Health
0b585fb06695db3347b6e340f7f897bf,Jeffrey Snyder,11440 SE Aquila St,Happy Valley,Oregon, 97086.0,1956-10-17,male,High School,Sales
bfc7e857c666777a3ee53a9ed576ccdb,Marco Royals,1731 NW Everett St,Portland,OREGON,97209.0,1980-09-13,MALE,Graduate Degree,Education & Health
7fd53f66a6d4cd12875487af4008bb08,Travis Hardy,636 SE 154th Ave,Portland,Oregon,97233.0,1803-04-20,male,College,Sales
a407f60337af8e554a1f85f99092a4e3,Peter Watkins,1847 SW Englewood Dr,Lake Oswego,Oregon,97034.0,2102-12-05,male,Graduate Degree,Blue Collar
d6f5b9cccb7bc5871af3dc16980fc239,Jacob Pardee,10257 NE 20th Cir,Vancouver,Washington,98664.0,2008-01-31,male,Others,Others
1499d9170b881d4aef059399ff7b667e,Vasiliki Smith,9559 SW 171st Ave,Beaverton,,97007.0,1977-03-04,female,Others,Tech
93a81699555ae3666fd45b29c025ee1a,William Fell,6922 SE Brooklyn St,Portland,Oregon,97206.0,1971-06-10,male,Graduate Degree,Blue Collar
6ae9e75a19de4c5f7d50e8db82280189,Jonathan Bonds,13999 NW Hogan St,Portland,Oregon,97229.0,1951-07-29,male,College,Business & Finance
59f403406fe6523aba62e51117050f8d,John Milkins,16907 SW 72nd Ave,Portland,Oregon,97224.0,2108-11-02,male,High School,Others
bb6f56906058b6d6664f66d354f26b8e,Eva Sommers,1950 NW Raleigh St,Portland,Oregon ,97209.0,1807-05-24,female,College, Business &  Finance 
93f33699e2e5af1df78e6427d9011856,Dena Taylor,1564 NE 137th Ave,Portland,Oregon,97230.0,1997-06-13,female,Others,Tech
376119222670aee3b7bcfd7761879126,Ronald Cedillo,3458 NE Peerless Pl, Portland,Oregon ,97232.0,1986-05-20,,High  School,Education & Health
f870d2740d4c7ed9184268884ed04f9f,Soledad Wade,8256 NW Leif Erickson Dr,Portland,Oregon,97210.0,1974-03-24,female,Graduate Degree,Sales
582fa185691a5a706d4666baa70f3285,Katie Henige,265 N Broadway,Portland,Oregon,97227.0,1963-12-29,female, Others,Education  & Health
f76aa0626aad808e4e667235f3df88cb,Stacy Dangelo,3354 NE 83rd Ave,Portland,Oregon,97220.0,,,Others ,SALES
a7e9ac3fcbb8c52027da02cc396ec513,Kelly Watson,2220 NE Marine Dr,Portland,Oregon,97211.0,1972-09-10,female,Others,Blue Collar
b9e3ca68a68468de3285d4d12a80f8a9,Claude Hendren,5006 SW Vermont St,Portland,Oregon,97219.0,1972-02-23,male,High School,Others
5dfa795e4819bdebaece10f4086c30bc,Jackie Collis,2124 NE 53rd Ave, Portland,Oregon,97213.0,,male,Graduate Degree,EDUCATION & Health
a965e16c1bf2e37674dd42960c751a0a,Cora Angeles,9 Erasmus St,Lake Oswego,Oregon,97035.0 ,1978-01-16,female,Graduate Degree, Others
7c13d2a04dd176cfd2e2d05b902ba3f8,Randy Payne,5300 N MARINE Dr,Portland,Oregon,97203.0,,male,Graduate Degree,Education & Health
4b2ad72ee47fa80ba311d4097e33c323,Rudolph Clayton,6010  NE Halsey St,Portland,,97213.0,2009-12-01,male,High School,Admin & Support
a49221dafa9fb9b52d3f5078da2c14d4,DOROTHY Dineen,1913 SE 89th Ave,Portland,Oregon,97216.0,1984-11-14,female,Others,
4eafd62074535a172de00379af9ea4f7,Linda Olivas,7000 NE Airport Way,Portland,Oregon,97218.0,1973-05-03,female,Graduate Degree,Admin & Support
04588e0e30daec741af385a0dab0a9bd,William  Barrera ,13240 Clackamas River Dr,,Oregon,97045.0,1986-03-16,,High School,Tech
6c528e86c1059824d686407dd8b6124a,Nickolas Knobel,2103 Ridgewood Rd,, Oregon,#97034.0,1999-05-10,male,High School,Education & Health
8ba1250ea887f492d296b8a64bcd75a6,Mark Sowada,6080 NE Alderwood Rd,Portland,Oregon,97218.0,1988-12-04,male,College,Admin & Support
86498f218365f03971d198b400a58b56,Alicia Smart,3135 SE 6th Ave,Portland,Oregon,97202.0,2009-05-23, female,College,
31fe87a21a2a7c39f4a03d0b736ab2a0,Glen Winslow,12728 SE Mill St,Portland,Oregon,97233.0,2106-08-04,male,High School,Tech 
a38a2420714cf58ca5c3b3c486cff888,William Vitela,3509 NE Columbia Blvd,,Oregon,97211.0,2007-10-14,male,Graduate Degree,Education & Health
